Timestamp;% CPU (global);% CPU (user);% CPU (system)
2024/03/03 00:43:21;3.2;0.0;1.3
2024/03/03 00:43:24;3.9;0.7;1.3
2024/03/03 00:43:26;3.1;0.0;1.9
2024/03/03 00:43:28;3.2;0.6;1.3
2024/03/03 00:43:30;3.8;0.6;1.9
2024/03/03 00:43:32;4.1;0.0;2.0
2024/03/03 00:43:34;6.0;0.7;1.3
2024/03/03 00:43:37;3.9;0.0;1.3
2024/03/03 00:43:39;3.9;0.7;1.3
2024/03/03 00:43:41;2.6;0.7;0.0
2024/03/03 00:43:43;3.2;0.6;1.3
2024/03/03 00:43:45;3.4;0.0;1.4
2024/03/03 00:43:48;4.6;0.7;1.3
2024/03/03 00:43:50;4.1;0.0;2.0
2024/03/03 00:43:52;2.6;0.0;1.3
2024/03/03 00:43:54;3.2;1.3;0.6
2024/03/03 00:43:56;4.0;0.7;2.0
2024/03/03 00:43:59;4.3;0.6;1.9
2024/03/03 00:44:01;3.1;0.6;1.2
2024/03/03 00:44:04;2.4;0.6;0.0
2024/03/03 00:44:06;4.5;0.6;1.9
2024/03/03 00:44:08;3.0;0.6;1.2
2024/03/03 00:44:10;3.0;0.6;1.8
2024/03/03 00:44:12;4.5;0.6;2.6
2024/03/03 00:44:15;1.9;0.6;0.6
2024/03/03 00:44:17;3.1;0.0;1.2
2024/03/03 00:44:19;2.6;0.7;0.7
2024/03/03 00:44:21;4.4;0.6;1.9
2024/03/03 00:44:24;3.6;0.6;0.6
2024/03/03 00:44:26;3.2;0.6;0.6
2024/03/03 00:44:28;2.6;0.6;0.0
2024/03/03 00:44:31;1.3;0.0;0.7
2024/03/03 00:44:33;3.2;0.6;0.6
2024/03/03 00:44:36;4.4;0.0;0.6
2024/03/03 00:44:38;2.6;0.0;0.7
2024/03/03 00:44:40;3.9;0.0;1.3
2024/03/03 00:44:42;4.5;0.0;3.2
2024/03/03 00:44:45;2.4;0.0;1.0
2024/03/03 00:44:47;2.5;0.0;1.2
2024/03/03 00:44:50;1.8;0.0;1.2
2024/03/03 00:44:52;2.0;0.0;0.7
2024/03/03 00:44:54;2.2;0.0;0.6
2024/03/03 00:44:56;3.9;0.0;2.6
2024/03/03 00:44:59;3.0;0.6;1.8
2024/03/03 00:45:02;3.3;0.7;0.7
2024/03/03 00:45:04;2.6;0.7;1.3
2024/03/03 00:45:06;2.7;0.0;0.9
2024/03/03 00:45:09;2.1;0.0;1.0
2024/03/03 00:45:11;1.2;0.0;0.0
2024/03/03 00:45:14;1.8;0.0;1.2
2024/03/03 00:45:16;3.3;1.1;0.6
2024/03/03 00:45:18;0.6;0.0;0.0
2024/03/03 00:45:20;2.5;0.0;1.2
2024/03/03 00:45:22;4.5;0.6;2.6
2024/03/03 00:45:25;3.7;1.2;0.6
2024/03/03 00:45:27;5.1;0.6;2.5
2024/03/03 00:45:30;3.2;0.0;1.9
2024/03/03 00:45:32;2.7;0.7;0.7
2024/03/03 00:45:34;2.4;0.0;0.6
2024/03/03 00:45:36;2.5;0.6;0.6
2024/03/03 00:45:39;2.5;0.0;0.6
2024/03/03 00:45:42;2.5;0.0;1.3
2024/03/03 00:45:44;4.7;0.0;2.0
2024/03/03 00:45:46;2.5;0.0;0.5
2024/03/03 00:45:48;4.7;0.0;1.3
2024/03/03 00:45:51;1.7;0.0;0.6
2024/03/03 00:45:53;2.6;0.7;0.7
2024/03/03 00:45:55;0.5;0.0;0.3
2024/03/03 00:45:58;2.8;0.6;0.6
2024/03/03 00:46:00;3.3;0.0;0.7
2024/03/03 00:46:02;4.5;0.6;1.3
2024/03/03 00:46:05;3.9;0.0;1.3
2024/03/03 00:46:07;3.2;0.0;1.9
2024/03/03 00:46:09;2.6;0.6;0.6
2024/03/03 00:46:11;3.8;0.6;0.6
2024/03/03 00:46:13;1.8;0.0;1.2
2024/03/03 00:46:16;4.2;0.6;1.8
2024/03/03 00:46:18;3.2;0.0;1.3
2024/03/03 00:46:20;4.5;0.6;1.7
2024/03/03 00:46:22;2.6;0.0;0.6
2024/03/03 00:46:25;3.9;0.7;2.0
2024/03/03 00:46:27;2.6;0.7;0.7
2024/03/03 00:46:29;4.4;0.0;1.9
2024/03/03 00:46:32;2.4;0.6;0.6
2024/03/03 00:46:34;4.6;0.7;1.3
2024/03/03 00:46:36;3.3;0.0;0.7
2024/03/03 00:46:38;3.7;0.6;1.8
2024/03/03 00:46:40;4.6;0.0;2.0
2024/03/03 00:46:45;1.9;0.0;0.6
2024/03/03 00:46:47;2.7;0.0;1.1
2024/03/03 00:46:49;2.0;0.0;0.7
2024/03/03 00:46:52;2.2;0.5;0.5
2024/03/03 00:46:54;2.9;0.0;0.6
2024/03/03 00:46:56;4.8;0.6;0.6
2024/03/03 00:46:58;2.4;0.0;1.2
2024/03/03 00:47:00;3.9;0.0;1.3
2024/03/03 00:47:03;1.9;0.0;0.6
2024/03/03 00:47:05;2.6;0.0;1.0
2024/03/03 00:47:07;1.0;0.3;0.3
2024/03/03 00:47:10;2.7;0.0;1.1
2024/03/03 00:47:12;3.3;0.0;1.1
2024/03/03 00:47:15;1.8;0.0;0.6
2024/03/03 00:47:17;2.9;0.6;0.6
2024/03/03 00:47:19;1.9;0.0;1.3
2024/03/03 00:47:22;2.9;0.0;1.2
2024/03/03 00:47:24;2.9;0.6;1.7
2024/03/03 00:47:26;2.4;0.5;0.5
2024/03/03 00:47:29;2.4;0.0;1.0
2024/03/03 00:47:31;3.0;0.6;0.6
2024/03/03 00:47:33;2.5;0.6;0.6
2024/03/03 00:47:36;4.2;0.0;1.8
2024/03/03 00:47:38;3.7;0.6;0.6
2024/03/03 00:47:40;5.9;0.6;1.2
2024/03/03 00:47:42;3.8;0.0;1.9
2024/03/03 00:47:45;3.6;0.0;1.2
2024/03/03 00:47:47;2.6;0.0;0.7
2024/03/03 00:47:50;2.3;0.6;0.6
2024/03/03 00:47:52;3.2;0.6;0.6
2024/03/03 00:47:54;2.3;0.0;0.0
2024/03/03 00:47:57;2.7;0.7;0.0
2024/03/03 00:47:59;3.1;0.6;1.2
2024/03/03 00:48:02;1.9;0.0;1.3
2024/03/03 00:48:04;3.8;0.6;1.3
2024/03/03 00:48:06;2.4;0.0;0.6
2024/03/03 00:48:09;1.9;0.0;0.6
2024/03/03 00:48:11;3.2;0.6;1.3
2024/03/03 00:48:14;3.3;0.0;1.3
2024/03/03 00:48:16;2.5;0.0;1.2
2024/03/03 00:48:19;4.4;0.6;1.3
2024/03/03 00:48:21;4.4;0.6;1.9
2024/03/03 00:48:24;2.8;0.0;1.7
2024/03/03 00:48:26;4.5;0.6;1.3
2024/03/03 00:48:28;2.3;0.0;0.6
2024/03/03 00:48:31;3.4;0.6;1.1
2024/03/03 00:48:33;3.8;0.6;1.9
2024/03/03 00:48:35;2.5;0.0;0.0
2024/03/03 00:48:39;2.1;0.0;0.5
2024/03/03 00:48:41;3.3;0.5;0.5
2024/03/03 00:48:43;2.0;0.7;0.0
2024/03/03 00:48:45;3.2;0.5;1.1
2024/03/03 00:48:47;4.5;0.0;1.3
2024/03/03 00:48:50;3.8;0.6;1.3
2024/03/03 00:48:52;3.1;0.6;1.9
2024/03/03 00:48:54;3.1;0.6;0.6
2024/03/03 00:48:56;4.2;0.0;1.2
2024/03/03 00:48:58;23.4;1.6;9.4
2024/03/03 00:49:01;10.5;1.2;3.5
2024/03/03 00:49:03;25.9;1.2;5.9
2024/03/03 00:49:05;29.2;1.0;12.5
2024/03/03 00:49:08;16.9;0.0;4.2
2024/03/03 00:49:10;15.0;1.3;5.2
2024/03/03 00:49:12;11.5;0.7;2.0
2024/03/03 00:49:15;16.5;0.0;7.8
2024/03/03 00:49:17;7.9;0.8;4.7
2024/03/03 00:49:19;31.2;2.1;9.4
2024/03/03 00:49:22;20.4;0.9;6.2
2024/03/03 00:49:24;16.9;0.6;6.5
2024/03/03 00:49:27;15.3;1.6;5.6
2024/03/03 00:49:29;9.5;1.3;5.1
2024/03/03 00:49:31;16.3;0.0;7.4
2024/03/03 00:49:34;9.8;0.7;4.2
2024/03/03 00:49:36;13.9;0.7;7.3
2024/03/03 00:49:38;9.7;0.7;2.8
2024/03/03 00:49:40;15.0;1.3;6.5
2024/03/03 00:49:43;9.8;0.0;4.5
2024/03/03 00:49:45;11.9;0.0;5.2
2024/03/03 00:49:47;11.4;1.5;6.1
2024/03/03 00:49:50;14.2;0.0;3.8
2024/03/03 00:49:52;12.7;0.7;5.6
2024/03/03 00:49:54;16.7;1.4;5.1
2024/03/03 00:49:57;12.3;0.6;3.9
2024/03/03 00:49:59;10.7;0.8;3.8
2024/03/03 00:50:01;14.2;0.8;3.9
2024/03/03 00:50:04;18.3;0.9;3.5
2024/03/03 00:50:06;8.7;0.0;4.8
2024/03/03 00:50:08;11.5;0.6;4.5
2024/03/03 00:50:11;13.5;0.0;4.8
2024/03/03 00:50:13;18.3;1.7;4.2
2024/03/03 00:50:15;14.9;0.0;4.1
2024/03/03 00:50:17;12.1;1.4;3.6
2024/03/03 00:50:20;12.6;1.2;5.4
2024/03/03 00:50:22;10.8;2.0;4.7
2024/03/03 00:50:24;15.0;0.0;4.5
2024/03/03 00:50:27;8.5;0.7;3.5
2024/03/03 00:50:29;8.9;0.7;3.7
2024/03/03 00:50:32;7.9;0.7;2.0
2024/03/03 00:50:34;20.6;3.5;8.5
2024/03/03 00:50:36;38.3;3.2;17.0
2024/03/03 00:50:39;13.2;1.5;1.5
2024/03/03 00:50:42;7.6;0.7;2.1
2024/03/03 00:50:44;9.9;0.7;2.1
2024/03/03 00:50:46;12.7;0.0;6.3
2024/03/03 00:50:49;12.4;0.6;3.0
2024/03/03 00:50:51;10.7;0.0;4.0
2024/03/03 00:50:53;12.0;1.3;3.8
2024/03/03 00:50:56;12.5;0.0;5.0
2024/03/03 00:50:58;13.6;0.7;6.4
2024/03/03 00:51:00;10.7;1.4;3.6
2024/03/03 00:51:03;9.9;0.0;4.4
2024/03/03 00:51:05;15.6;0.0;6.6
2024/03/03 00:51:07;15.1;1.4;5.8
2024/03/03 00:51:10;12.9;0.0;3.6
2024/03/03 00:51:12;11.4;0.0;3.6
2024/03/03 00:51:14;14.2;2.1;7.1
2024/03/03 00:51:17;14.2;0.8;6.3
2024/03/03 00:51:19;11.7;1.5;5.1
2024/03/03 00:51:21;10.9;1.6;4.7
2024/03/03 00:51:24;10.6;0.7;5.6
2024/03/03 00:51:26;10.2;0.7;4.8
2024/03/03 00:51:29;12.6;0.7;5.6
2024/03/03 00:51:31;10.9;0.0;4.4
2024/03/03 00:51:33;18.0;0.0;6.0
2024/03/03 00:51:36;13.3;0.7;5.6
2024/03/03 00:51:38;14.0;0.8;6.2
2024/03/03 00:51:41;12.0;0.0;4.8
2024/03/03 00:51:43;14.6;1.8;5.8
2024/03/03 00:51:45;14.6;1.5;5.8
2024/03/03 00:51:48;22.0;1.7;3.4
2024/03/03 00:51:50;11.0;0.7;5.5
2024/03/03 00:51:52;13.1;2.0;4.6
2024/03/03 00:51:55;11.3;0.0;4.0
2024/03/03 00:51:57;11.4;0.7;2.0
2024/03/03 00:51:59;21.6;1.7;10.3
2024/03/03 00:52:02;16.8;0.0;1.8
2024/03/03 00:52:04;13.1;0.0;7.1
2024/03/03 00:52:07;14.6;0.7;5.1
2024/03/03 00:52:09;8.0;0.0;3.6
2024/03/03 00:52:11;9.8;1.4;2.8
2024/03/03 00:52:14;8.8;0.7;4.1
2024/03/03 00:52:16;12.8;0.6;4.3
2024/03/03 00:52:18;15.5;0.5;5.2
2024/03/03 00:52:21;9.2;1.3;3.3
2024/03/03 00:52:23;14.7;0.9;6.9
2024/03/03 00:52:25;13.8;0.7;6.5
2024/03/03 00:52:28;17.0;1.5;7.4
2024/03/03 00:52:30;16.1;1.1;5.6
2024/03/03 00:52:33;10.7;0.8;4.6
2024/03/03 00:52:35;14.3;0.0;6.8
2024/03/03 00:52:37;10.7;0.0;4.0
2024/03/03 00:52:40;7.5;0.7;1.5
2024/03/03 00:52:42;15.5;0.8;3.1
2024/03/03 00:52:44;14.7;2.2;5.9
2024/03/03 00:52:46;14.0;0.8;8.5
2024/03/03 00:52:49;16.1;1.4;7.0
2024/03/03 00:52:51;15.6;0.0;8.3
2024/03/03 00:52:53;12.5;0.0;6.2
2024/03/03 00:52:56;11.6;0.8;3.9
2024/03/03 00:52:58;15.7;0.0;3.7
2024/03/03 00:53:01;12.4;1.4;4.1
2024/03/03 00:53:03;10.6;0.7;3.5
2024/03/03 00:53:05;14.7;1.6;4.7
2024/03/03 00:53:08;13.6;0.0;6.1
2024/03/03 00:53:10;16.5;0.0;3.5
2024/03/03 00:53:12;10.1;0.6;3.2
2024/03/03 00:53:15;9.7;0.0;4.2
2024/03/03 00:53:17;19.5;0.8;3.9
2024/03/03 00:53:19;19.5;1.6;4.9
2024/03/03 00:53:22;4.6;0.7;3.3
2024/03/03 00:53:24;5.7;0.6;3.2
2024/03/03 00:53:26;2.7;0.0;1.3
2024/03/03 00:53:29;11.7;0.7;4.4
2024/03/03 00:53:31;19.6;1.8;6.7
2024/03/03 00:53:34;19.2;2.4;6.4
2024/03/03 00:53:36;22.1;1.5;8.1
2024/03/03 00:53:38;15.5;1.2;6.8
2024/03/03 00:53:41;23.7;1.5;6.7
2024/03/03 00:53:43;18.5;2.1;8.9
2024/03/03 00:53:46;13.8;0.6;6.9
2024/03/03 00:53:48;15.1;1.4;6.8
2024/03/03 00:53:51;13.0;1.5;6.9
2024/03/03 00:53:53;18.0;0.8;6.2
2024/03/03 00:53:55;11.1;0.7;3.5
2024/03/03 00:53:58;10.5;0.7;3.5
2024/03/03 00:54:00;14.0;1.9;8.4
2024/03/03 00:54:02;13.9;1.4;4.9
2024/03/03 00:54:05;10.9;0.0;5.1
2024/03/03 00:54:07;11.7;0.6;4.1
2024/03/03 00:54:09;22.0;3.3;6.5
2024/03/03 00:54:12;13.4;0.7;4.9
2024/03/03 00:54:14;15.7;0.6;6.7
2024/03/03 00:54:17;10.9;0.6;4.2
2024/03/03 00:54:19;12.3;1.4;3.6
2024/03/03 00:54:21;19.6;2.0;5.9
2024/03/03 00:54:24;11.7;1.4;2.8
2024/03/03 00:54:26;23.8;1.4;5.4
2024/03/03 00:54:28;15.1;2.2;2.2
2024/03/03 00:54:31;11.0;1.5;5.1
2024/03/03 00:54:33;19.1;1.5;6.1
2024/03/03 00:54:35;13.8;0.8;6.2
2024/03/03 00:54:38;11.2;0.7;3.5
2024/03/03 00:54:40;13.1;1.5;5.3
2024/03/03 00:54:43;15.2;0.7;5.8
2024/03/03 00:54:45;16.1;0.0;7.1
2024/03/03 00:54:47;10.9;0.7;3.4
2024/03/03 00:54:50;10.1;1.4;3.6
2024/03/03 00:54:52;10.2;0.7;2.9
2024/03/03 00:54:54;11.7;0.0;5.3
2024/03/03 00:54:57;13.1;1.2;7.1
2024/03/03 00:54:59;20.9;0.0;5.5
2024/03/03 00:55:01;19.1;2.1;8.5
2024/03/03 00:55:04;10.4;0.7;2.2
2024/03/03 00:55:06;14.2;2.0;4.1
2024/03/03 00:55:08;16.3;1.6;6.8
2024/03/03 00:55:11;9.3;1.3;3.3
2024/03/03 00:55:13;14.7;0.0;5.5
2024/03/03 00:55:16;10.1;1.4;4.3
2024/03/03 00:55:18;11.4;1.4;5.0
2024/03/03 00:55:21;15.4;0.0;4.6
2024/03/03 00:55:23;8.2;0.0;3.4
2024/03/03 00:55:25;19.1;0.7;5.7
2024/03/03 00:55:28;15.8;1.4;7.5
2024/03/03 00:55:31;10.8;0.0;5.8
2024/03/03 00:55:33;11.3;0.0;4.0
2024/03/03 00:55:36;4.3;0.6;1.9
2024/03/03 00:55:38;5.3;2.6;2.0
2024/03/03 00:55:40;3.2;0.0;1.9
2024/03/03 00:55:42;3.0;0.0;0.6
2024/03/03 00:55:44;5.8;0.6;1.9
2024/03/03 00:55:47;2.6;0.0;1.3
2024/03/03 00:55:49;4.5;0.6;1.3
2024/03/03 00:55:51;3.9;0.0;1.3
2024/03/03 00:55:53;2.9;0.4;0.8
2024/03/03 00:55:56;1.1;0.0;0.6
2024/03/03 00:55:58;3.9;0.6;0.6
2024/03/03 00:56:01;3.8;0.0;1.3
2024/03/03 00:56:03;3.0;0.0;1.2
2024/03/03 00:56:05;4.1;0.7;0.7
2024/03/03 00:56:07;3.9;0.7;1.3
2024/03/03 00:56:09;5.2;0.6;2.6
2024/03/03 00:56:12;11.6;0.0;4.8
2024/03/03 00:56:14;31.8;2.3;15.5
2024/03/03 00:56:16;18.0;0.8;10.5
2024/03/03 00:56:19;15.9;0.7;5.5
2024/03/03 00:56:21;11.2;0.0;5.6
2024/03/03 00:56:24;13.0;1.2;3.7
2024/03/03 00:56:26;18.3;1.5;8.4
2024/03/03 00:56:28;15.3;1.2;3.7
2024/03/03 00:56:31;18.5;1.5;5.9
2024/03/03 00:56:33;9.9;0.7;2.8
2024/03/03 00:56:35;9.0;0.0;2.8
2024/03/03 00:56:38;10.6;0.0;2.8
2024/03/03 00:56:40;11.5;2.2;2.9
2024/03/03 00:56:43;12.1;0.0;4.5
2024/03/03 00:56:45;15.9;1.3;6.4
2024/03/03 00:56:47;12.1;0.7;3.5
2024/03/03 00:56:50;11.3;2.0;5.3
2024/03/03 00:56:52;12.1;0.7;5.4
2024/03/03 00:56:55;10.1;0.0;3.9
2024/03/03 00:56:57;14.0;0.6;7.9
2024/03/03 00:56:59;20.5;2.6;8.6
2024/03/03 00:57:02;14.5;1.4;7.6
2024/03/03 00:57:04;10.2;0.7;5.4
2024/03/03 00:57:06;14.4;1.8;2.7
2024/03/03 00:57:09;13.3;1.3;3.8
2024/03/03 00:57:11;13.2;0.8;7.8
2024/03/03 00:57:13;20.0;0.0;9.5
2024/03/03 00:57:16;10.3;0.0;3.8
2024/03/03 00:57:18;11.5;0.6;3.8
2024/03/03 00:57:20;15.1;0.4;5.4
2024/03/03 00:57:23;13.6;0.6;5.2
2024/03/03 00:57:25;32.1;2.2;14.6
2024/03/03 00:57:28;15.2;0.0;6.2
2024/03/03 00:57:32;14.7;0.3;4.1
2024/03/03 00:57:35;15.2;0.7;9.0
2024/03/03 00:57:37;20.3;3.4;7.4
2024/03/03 00:57:40;11.9;1.5;2.2
2024/03/03 00:57:42;11.7;0.7;2.9
2024/03/03 00:57:44;19.7;0.6;9.2
2024/03/03 00:57:47;9.5;0.9;6.0
2024/03/03 00:57:50;41.3;0.0;7.6
2024/03/03 00:57:54;2.3;0.0;1.2
2024/03/03 00:57:58;12.0;0.0;4.0
2024/03/03 00:58:01;19.4;1.0;10.2
2024/03/03 00:58:04;31.9;0.0;10.1
2024/03/03 00:58:09;10.8;0.7;0.7
2024/03/03 00:58:15;6.9;0.0;4.2
2024/03/03 00:58:19;5.7;0.0;1.0
2024/03/03 00:58:22;22.4;1.3;11.8
2024/03/03 00:58:26;35.0;0.0;20.0
2024/03/03 00:58:30;5.9;1.3;2.0
2024/03/03 00:58:32;5.1;0.6;2.5
2024/03/03 00:58:34;4.9;0.6;1.9
2024/03/03 00:58:37;6.2;0.9;3.6
2024/03/03 00:58:40;23.3;0.4;7.6
2024/03/03 00:58:45;29.3;0.0;17.1
2024/03/03 00:58:48;15.4;0.0;5.1
2024/03/03 00:58:52;13.0;1.1;6.5
2024/03/03 00:58:55;31.2;0.0;20.4
2024/03/03 00:59:00;9.5;0.0;5.3
2024/03/03 00:59:04;15.5;1.0;4.9
2024/03/03 00:59:08;13.7;0.0;5.0
2024/03/03 00:59:12;21.8;1.4;7.5
2024/03/03 00:59:16;33.3;0.0;5.0
2024/03/03 00:59:19;12.7;0.7;3.5
2024/03/03 00:59:23;30.2;0.0;5.8
2024/03/03 00:59:26;23.0;0.8;5.7
2024/03/03 00:59:29;15.3;0.0;4.7
2024/03/03 00:59:32;9.4;1.7;4.3
2024/03/03 00:59:35;11.2;0.6;0.6
2024/03/03 00:59:38;13.4;0.7;6.0
2024/03/03 00:59:40;10.1;0.0;5.3
2024/03/03 00:59:43;30.0;0.0;2.9
2024/03/03 00:59:46;19.9;0.6;8.8
2024/03/03 00:59:49;7.0;0.0;1.2
2024/03/03 00:59:52;12.8;0.0;5.5
2024/03/03 00:59:55;17.7;0.0;5.2
2024/03/03 00:59:58;12.0;0.0;3.8
2024/03/03 01:00:02;22.8;2.0;9.9
2024/03/03 01:00:05;37.1;0.8;12.9
2024/03/03 01:00:08;5.0;0.0;2.5
2024/03/03 01:00:10;4.2;0.6;1.8
2024/03/03 01:00:13;13.9;0.0;1.3
2024/03/03 01:00:16;18.8;1.2;4.7
2024/03/03 01:00:19;9.7;0.6;4.5
2024/03/03 01:00:22;18.6;0.0;4.2
2024/03/03 01:00:26;50.4;0.8;10.5
2024/03/03 01:00:30;15.4;0.0;2.3
2024/03/03 01:00:33;9.2;0.0;3.1
2024/03/03 01:00:36;25.7;0.7;3.7
2024/03/03 01:00:39;9.6;0.6;2.4
2024/03/03 01:00:41;13.2;0.9;4.4
2024/03/03 01:00:44;15.5;1.0;3.9
2024/03/03 01:00:47;2.0;0.0;1.3
2024/03/03 01:00:51;15.2;0.0;5.1
2024/03/03 01:00:54;10.1;0.6;3.8
2024/03/03 01:00:57;14.6;1.8;5.8
2024/03/03 01:01:00;26.8;2.8;5.6
2024/03/03 01:01:03;40.0;2.9;14.3
2024/03/03 01:01:06;36.6;3.2;9.7
2024/03/03 01:01:09;12.7;0.6;6.4
2024/03/03 01:01:12;9.7;0.5;1.0
2024/03/03 01:01:15;13.9;0.9;2.6
2024/03/03 01:01:19;12.6;0.0;2.8
2024/03/03 01:01:21;12.4;0.5;4.6
2024/03/03 01:01:23;11.1;0.0;3.5
2024/03/03 01:01:28;4.7;0.0;2.1
2024/03/03 01:01:32;40.6;0.0;6.2
2024/03/03 01:01:36;16.9;2.2;10.1
2024/03/03 01:01:40;43.2;0.6;6.2
2024/03/03 01:01:43;25.9;1.9;5.6
2024/03/03 01:01:46;8.3;1.8;2.8
2024/03/03 01:01:49;13.9;1.0;3.8
2024/03/03 01:01:52;14.2;0.6;4.9
2024/03/03 01:01:55;10.3;0.0;4.5
2024/03/03 01:01:58;20.8;0.0;5.8
2024/03/03 01:02:02;27.5;2.0;9.4
